doc_id,section,model,cer,wer
01_11_page_001,gemara,qwen3_vl_8b_heb_v17_step800,0.0047,0.0168
01_11_page_001,gemara,qwen3_vl_8b_heb_v18b_step700,0.0085,0.0105
01_11_page_001,gemara,gpt_5_2,0.9949,1.0
01_11_page_001,gemara,kraken_seg_rerun,0.0885,0.1242
01_11b_page_001,gemara,qwen3_vl_8b_heb_v17_step800,0.0064,0.0217
01_11b_page_001,gemara,qwen3_vl_8b_heb_v18b_step700,0.005,0.0145
01_11b_page_001,gemara,gpt_5_2,0.8723,0.9928
01_11b_page_001,gemara,gemini_pro,0.0322,0.053
01_11b_page_001,gemara,gemini_flash,0.0317,0.0458
01_11b_page_001,gemara,kraken_seg_rerun,0.0356,0.0964
01_12_page_001,gemara,qwen3_vl_8b_heb_v17_step800,0.0004,0.0022
01_12_page_001,gemara,qwen3_vl_8b_heb_v18b_step700,0.0,0.0
01_12_page_001,gemara,gpt_5_2,1.1042,1.0
01_12_page_001,gemara,gemini_pro,0.022,0.0734
01_12_page_001,gemara,gemini_flash,0.0573,0.095
01_12_page_001,gemara,kraken_seg_rerun,0.022,0.095
01_12b_page_001,gemara,qwen3_vl_8b_heb_v17_step800,0.0045,0.0155
01_12b_page_001,gemara,qwen3_vl_8b_heb_v18b_step700,0.0052,0.0138
01_12b_page_001,gemara,gpt_5_2,0.9217,0.9931
01_13_page_001,gemara,qwen3_vl_8b_heb_v17_step800,0.575,0.5843
01_13_page_001,gemara,qwen3_vl_8b_heb_v18b_step700,0.5727,0.5745
01_13_page_001,gemara,gpt_5_2,0.7865,0.9353
01_13_page_001,gemara,claude_opus_4_8,1.4785,1.4255
01_13_page_001,gemara,claude_sonnet_5,0.3316,0.4255
01_13_page_001,gemara,gemini_pro,0.0004,0.002
01_13_page_001,gemara,gemini_flash,0.0146,0.0451
01_13_page_001,gemara,kraken_seg_rerun,0.0339,0.0843
01_14_page_001,gemara,qwen3_vl_8b_heb_v17_step800,0.0021,0.0151
