subset,model,n,spearman_aligned_p,pearson_aligned_p,spearman_aligned_f1,pearson_aligned_f1,spearman_cer_lenient,pearson_cer_lenient
all,kraken_seg,122,0.621560667569635,0.5042068755862281,0.6440564270159704,0.6036501654322506,-0.605268636347114,-0.6029458782186666
all,kraken_raw,131,0.8158009929002296,0.7266923430690095,0.8085731062830299,0.7906131821744717,-0.7765921101798965,-0.781886472926609
all,gemini_pro,68,0.8209718670076726,0.8201658594226707,0.8566629766767188,0.8749800731473465,-0.7979157918845668,-0.8467735982357052
all,gemini_flash,122,0.65465005072062,0.5969249976744262,0.6928575724873509,0.7084372831557105,-0.6521209054354703,-0.6513156391604028
all,claude_opus_4_8,131,0.8332884757735722,0.7398274061387076,0.8311008611245372,0.721559690481217,-0.7217472702937399,-0.5677005297527089
all,claude_sonnet_5,131,0.7619939338874663,0.6803659363774041,0.836522165943012,0.6978337959496989,-0.6814315469540381,-0.4091822279608484
all,gpt_5_6_sol,131,0.7162844487441642,0.6055422090443077,0.7954169955870402,0.5162963515107513,-0.7728364954647337,-0.4769263843380919
all,qwen3_vl_8b_heb_v17_step800,131,0.7621473162709392,0.6118317546056058,0.756556336453145,0.6468686318204176,-0.6953710713863994,-0.35258899479398415
all,qwen3_vl_8b_heb_v16_step1100,131,0.8019624042567184,0.7033471406395739,0.7772886530809708,0.7213452187935315,-0.7417952355247945,-0.3676800220890796
all,qwen3_vl_8b,131,0.18693983801470768,0.8167452506160091,0.19708254315362567,0.8288975665792788,0.1539889177664461,-0.04393744371641736
all,vision_ocr_seg,123,0.6924589817147752,0.6134832112423415,0.7385079924137317,0.8175867956193025,-0.7334934382289712,-0.8219900482894897
all,POOLED,1352,0.8020101345253632,0.707900622902556,0.8330224996901859,0.751805281061239,-0.7681076574445148,-0.25364682887293466
tier_a,kraken_seg,55,0.5607503607503609,0.40101735618700113,0.5380230880230881,0.41138667110787325,-0.5145743145743147,-0.4283850673402745
tier_a,kraken_raw,55,0.788816738816739,0.7653418143440314,0.6963203463203465,0.603648866569233,-0.6583694083694085,-0.5546358886147988
tier_a,gemini_pro,31,0.9350806451612904,0.8463763875341721,0.9125000000000001,0.8385034065670167,-0.8862903225806452,-0.8394024490877775
tier_a,gemini_flash,54,0.5483411934359177,0.5276845539176459,0.6645301581016354,0.6727566952478167,-0.6660564978273928,-0.6643394835854245
tier_a,claude_opus_4_8,55,0.8699225094387523,0.8054782336136527,0.9026051604458436,0.8247426828604778,-0.6765019531467846,-0.5565025958003055
tier_a,claude_sonnet_5,55,0.7837506333989374,0.6965095406654753,0.7685980249461868,0.665879695051596,-0.5973735494301051,-0.34170998833336397
tier_a,gpt_5_6_sol,55,0.7923610125931777,0.6559276301069897,0.6314119706436049,0.38737074932334953,-0.6033239228711821,-0.3559584702418697
tier_a,qwen3_vl_8b_heb_v17_step800,55,0.7155612476136581,0.46323163997221284,0.6496392496392498,0.4768401846290926,-0.6010822510822512,-0.24491635351309046
tier_a,qwen3_vl_8b_heb_v16_step1100,55,0.9542929261321669,0.7550968497006244,0.9329045426533898,0.7741360120557855,-0.8994760997673422,-0.4851866128983898
tier_a,qwen3_vl_8b,55,0.30145772206315824,0.8203798723661525,0.3221125848287053,0.835019799447,0.17220991830774798,-0.06690131121173028
tier_a,vision_ocr_seg,55,0.6963535795252459,0.6415273956748333,0.8052289882137518,0.8572997074026314,-0.8103214604706035,-0.8664136546309745
tier_a,POOLED,580,0.8135347667436812,0.7047261947131129,0.8033270821628946,0.7069463911829776,-0.7340995501590716,-0.28927701806381767
