model,n,both,metric_only,judge_only,neither,agreement,kappa
kraken_seg,121,1,1,52,67,0.5619834710743802,0.004656216048424395
kraken_raw,0,0,0,0,0,nan,nan
gemini_pro,68,28,0,36,4,0.47058823529411764,0.08383233532934126
gemini_flash,99,47,0,46,6,0.5353535353535354,0.11019929660023445
claude_opus_4_8,91,30,8,24,29,0.6483516483516484,0.3177132146204312
claude_sonnet_5,118,80,9,10,19,0.8389830508474576,0.560564484515876
gpt_5_6_sol,64,25,3,27,9,0.53125,0.13043478260869565
qwen3_vl_8b_heb_v17_step800,122,38,0,76,8,0.3770491803278688,0.06153846153846149
qwen3_vl_8b_heb_v16_step1100,108,82,8,5,13,0.8796296296296297,0.5937499999999999
qwen3_vl_8b,39,37,0,1,1,0.9743589743589743,0.6548672566371684
vision_ocr_seg,105,60,7,23,15,0.7142857142857143,0.31936041486603295
POOLED,935,428,36,300,171,0.6406417112299465,0.2842692328722182
