model,n,n_pos,n_neg,auc_ngram_precision,auc_aligned_precision,auc_cer_lenient
kraken_seg,122,53,69,0.7525293956795187,0.6672135630298058,0.6048673776319388
kraken_raw,0,0,0,nan,nan,nan
gemini_pro,68,64,4,0.984375,0.97265625,0.97265625
gemini_flash,122,112,10,0.6285714285714286,0.6691964285714286,0.3705357142857143
claude_opus_4_8,131,87,44,0.7246603970741902,0.6724137931034483,0.7259665621734587
claude_sonnet_5,131,99,32,0.7648358585858586,0.7720959595959596,0.6846590909090909
gpt_5_6_sol,131,84,47,0.4981003039513678,0.5343211752786221,0.3243414387031408
qwen3_vl_8b_heb_v17_step800,127,119,8,0.8172268907563025,0.868172268907563,0.8865546218487395
qwen3_vl_8b_heb_v16_step1100,131,109,22,0.8922018348623854,0.939115929941618,0.8748957464553795
qwen3_vl_8b,129,127,2,0.7224409448818898,0.5275590551181102,0.9291338582677166
vision_ocr_seg,123,99,24,0.7561026936026936,0.7916666666666666,0.742003367003367
POOLED,1215,953,262,0.7171207036037263,0.7262301450621981,0.6784901836706904
