fragment_id,donor_id,n_lines,n_changed,ngram_p_unclipped_n5_before,ngram_p_unclipped_n5_after,ngram_p_unclipped_n5_delta,ngram_p_clipped_n5_before,ngram_p_clipped_n5_after,ngram_p_clipped_n5_delta,aligned_precision_before,aligned_precision_after,aligned_precision_delta,aligned_recall_before,aligned_recall_after,aligned_recall_delta,aligned_f1_before,aligned_f1_after,aligned_f1_delta,cer_before,cer_after,cer_delta,cer_lenient_before,cer_lenient_after,cer_lenient_delta,loop_ratio_before,loop_ratio_after,loop_ratio_delta
Cambridge_CUL_T_S_13J8_6,Cambridge_CUL_T_S_13J8_6,27,8,0.67,0.7918,0.1218,0.669,0.653,-0.016,0.9237,0.5248,-0.3989,0.6768,0.4142,-0.2627,0.7812,0.463,-0.3183,0.3324,0.4816,0.1492,0.3295,0.4816,0.1521,0.0237,0.0218,-0.0019
Cambridge_CUL_T_S_10J16_19,Cambridge_CUL_T_S_10J16_19,27,8,0.7487,0.8129,0.0643,0.7443,0.614,-0.1304,0.9096,0.4444,-0.4652,0.7778,0.3803,-0.3975,0.8385,0.4098,-0.4287,0.2692,0.4582,0.1891,0.2664,0.4562,0.1898,0.0129,0.0385,0.0257
Oxford_Bodleian_MS_heb_a_2_4,Oxford_Bodleian_MS_heb_a_2_4,32,9,0.4629,0.6332,0.1703,0.264,0.3639,0.0999,0.2104,0.2901,0.0797,0.1623,0.2288,0.0665,0.1833,0.2558,0.0725,0.7655,0.7431,-0.0224,0.7655,0.7431,-0.0224,0.1293,0.1042,-0.0251
Cambridge_CUL_Or_1080_J262,Cambridge_CUL_Or_1080_J262,54,17,0.6488,0.6893,0.0405,0.6474,0.5294,-0.118,0.8543,0.6108,-0.2435,0.7635,0.4309,-0.3327,0.8063,0.5053,-0.3011,0.2595,0.518,0.2585,0.2575,0.518,0.2605,0.0345,0.0438,0.0093
Cambridge_CUL_T_S_13J5_3,Cambridge_CUL_T_S_13J5_3,30,9,0.5197,0.7311,0.2114,0.5197,0.6436,0.1238,0.8602,0.5695,-0.2907,0.3546,0.3269,-0.0277,0.5022,0.4153,-0.0868,0.636,0.6266,-0.0094,0.6349,0.626,-0.0089,0.0204,0.0726,0.0522
Cambridge_CUL_T_S_16_170,Cambridge_CUL_T_S_16_170,32,9,0.7456,0.8472,0.1016,0.7456,0.8243,0.0788,0.77,0.631,-0.139,0.3663,0.3941,0.0279,0.4964,0.4852,-0.0112,0.6829,0.6221,-0.0608,0.6803,0.6216,-0.0588,0.0163,0.0248,0.0085
Cambridge_CUL_T_S_10J12_9,Cambridge_CUL_T_S_10J12_9,21,6,0.7909,0.8724,0.0815,0.7909,0.6118,-0.1791,0.9531,0.4616,-0.4914,0.9438,0.4422,-0.5016,0.9484,0.4517,-0.4967,0.0659,0.2659,0.2,0.0659,0.2659,0.2,0.0159,0.0491,0.0332
Cambridge_CUL_T_S_20_4,Cambridge_CUL_T_S_20_4,13,4,0.549,0.8763,0.3273,0.512,0.5998,0.0878,0.6691,0.638,-0.0312,0.1562,0.2826,0.1265,0.2532,0.3917,0.1385,0.83,0.7084,-0.1217,0.8283,0.7084,-0.1199,0.0286,0.0419,0.0133
Oxford_Bodleian_MS_heb_b_11_7,Oxford_Bodleian_MS_heb_b_11_7,45,14,0.6059,0.789,0.1831,0.6059,0.6165,0.0106,0.577,0.3102,-0.2668,0.3288,0.2175,-0.1113,0.4189,0.2557,-0.1632,0.7321,0.6953,-0.0368,0.7311,0.6953,-0.0358,0.016,0.0219,0.0059
Cambridge_CUL_T_S_10J4_12,Cambridge_CUL_T_S_10J4_12,38,11,0.6767,0.7165,0.0397,0.6751,0.5455,-0.1297,0.8985,0.6565,-0.242,0.7931,0.4292,-0.3639,0.8425,0.5191,-0.3235,0.2445,0.552,0.3075,0.2389,0.5476,0.3086,0.0189,0.0515,0.0326
Cambridge_CUL_T_S_10J21_1,Cambridge_CUL_T_S_10J21_1,42,13,0.5565,0.6656,0.1092,0.383,0.4443,0.0613,0.3674,0.2843,-0.0831,0.4831,0.3869,-0.0962,0.4174,0.3278,-0.0896,0.8678,0.9563,0.0885,0.8623,0.9563,0.094,0.0585,0.0546,-0.0039
