setting,config,model,n,pct_abstained,pct_loop_collapse,pct_hallucinated,pct_substantive,ngram_precision_median,aligned_f1_median,cer_median_substantive,n_substantive,tier_a_count,tier_changes_vs_paper
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.01639344262295082,0.9754098360655737,0.4739741622733282,0.6785012331915609,0.4097222222222222,119,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.022900763358778626,0.9694656488549618,0.4758842443729904,0.7298245614035087,0.3442176870748299,127,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.4117647058823529,0.5882352941176471,0.17384144907080687,0.4208190704882576,0.43185620461501834,40,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.38524590163934425,0.4262295081967213,0.06427047553150303,0.19639986994052927,0.5418522930315665,52,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.2900763358778626,0.40458015267175573,0.06472491909385113,0.3658315725928162,0.4162962962962963,53,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.6793893129770993,0.22137404580152673,0.02888086642599278,0.3663003663003663,0.43458475540386804,29,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.21374045801526717,0.2748091603053435,0.0,0.034354688950789226,0.7362920315522685,36,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.29770992366412213,0.6641221374045801,0.1672473867595819,0.5530068195908245,0.37896825396825395,87,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.6870229007633588,0.13740458015267176,0.010084033613445379,0.0832907138160298,0.37312945575289147,18,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.2824427480916031,0.015267175572519083,0.0,0.009767846390580051,0.49283102832519765,2,55,0
paper,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,vision_ocr_seg,123,0.13821138211382114,0.008130081300813009,0.5447154471544715,0.3089430894308943,0.023809523809523808,0.10770381451009722,0.6456186700364754,38,55,0
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.0,0.9918032786885246,0.7151133950716414,0.6785012331915609,0.43556895252449135,121,120,65
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.0,0.9923664122137404,0.7105263157894737,0.7298245614035087,0.3561276212302878,130,120,65
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.0,1.0,0.4981708151920918,0.4208190704882576,0.5893061926605505,68,120,65
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.00819672131147541,0.8032786885245902,0.43545815812577976,0.19639986994052927,0.6781791281153622,98,120,65
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.04580152671755725,0.648854961832061,0.30462184873949577,0.3658315725928162,0.5053619302949062,85,120,65
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.015267175572519083,0.8854961832061069,0.24742268041237114,0.3663003663003663,0.596539389801825,116,120,65
