doc_id,condition,split_frac,cer,len_ratio,hyp_letters,gt_letters
KTIV_990051086470205171_FL202607470,A_page,,0.5023,0.501,613,1223
KTIV_990051086470205171_FL202607470,B_prompt,,0.0164,0.998,1220,1223
KTIV_990051086470205171_FL202607470,C_crop,0.471,0.0164,0.996,1218,1223
KTIV_990051086470205171_FL202607489,A_page,,0.0184,1.0,1204,1204
KTIV_990051086470205171_FL202607489,B_prompt,,0.0158,0.996,1199,1204
KTIV_990051086470205171_FL202607489,C_crop,0.543,0.0138,0.995,1198,1204
KTIV_990001403620205171_FL203832469,A_page,,0.5914,0.499,2117,4246
KTIV_990001403620205171_FL203832469,B_prompt,,0.3133,0.99,4204,4246
KTIV_990001403620205171_FL203832469,C_crop,0.389,0.3955,1.005,4267,4246
KTIV_990001403620205171_FL203832470,A_page,,0.158,0.973,4103,4215
KTIV_990001403620205171_FL203832470,B_prompt,,0.1478,0.984,4149,4215
KTIV_990001403620205171_FL203832470,C_crop,0.374,0.2053,0.882,3716,4215
KTIV_990051168090205171_FL203725567,A_page,,0.6589,0.492,945,1921
KTIV_990051168090205171_FL203725567,B_prompt,,0.7124,0.651,1250,1921
KTIV_990051168090205171_FL203725567,C_crop,0.411,0.7048,0.77,1480,1921
KTIV_990051168090205171_FL203725568,A_page,,1.2819,1.92,3665,1909
KTIV_990051168090205171_FL203725568,B_prompt,,1.6946,2.223,4244,1909
KTIV_990051168090205171_FL203725568,C_crop,0.471,2.7883,3.576,6826,1909
KTIV_990051173500205171_FL203731306,A_page,,0.0828,0.996,1168,1173
KTIV_990051173500205171_FL203731306,B_prompt,,0.5955,1.511,1772,1173
KTIV_990051173500205171_FL203731306,C_crop,0.503,0.0664,0.991,1163,1173
KTIV_990051173500205171_FL203731303,A_page,,0.0917,0.99,1142,1154
KTIV_990051173500205171_FL203731303,B_prompt,,0.551,1.453,1677,1154
KTIV_990051173500205171_FL203731303,C_crop,0.494,0.1117,0.989,1141,1154
KTIV_990051377210205171_FL202566304,A_page,,0.5975,0.516,1250,2422
KTIV_990051377210205171_FL202566304,B_prompt,,0.2348,0.984,2384,2422
KTIV_990051377210205171_FL202566304,C_crop,0.549,0.2021,0.981,2375,2422
KTIV_990051377210205171_FL202566303,A_page,,0.627,0.5,1117,2236
KTIV_990051377210205171_FL202566303,B_prompt,,0.29,0.974,2177,2236
KTIV_990051377210205171_FL202566303,C_crop,0.454,0.2768,0.975,2180,2236
KTIV_990051163810205171_FL201506830,A_page,,0.3174,0.747,717,960
KTIV_990051163810205171_FL201506830,B_prompt,,0.6525,1.484,1425,960
KTIV_990051163810205171_FL201506830,C_crop,0.449,0.376,0.744,714,960
KTIV_990051163810205171_FL201506831,A_page,,0.3328,0.749,664,886
KTIV_990051163810205171_FL201506831,B_prompt,,0.6613,1.501,1330,886
KTIV_990051163810205171_FL201506831,C_crop,0.403,0.0893,0.994,881,886
KTIV_990051726080205171_FL203737423,A_page,,0.1363,0.993,1647,1659
KTIV_990051726080205171_FL203737423,B_prompt,,0.1372,0.993,1648,1659
KTIV_990051726080205171_FL203737423,C_crop,0.626,0.5696,0.49,813,1659
KTIV_990051726080205171_FL203737424,A_page,,0.1157,0.958,1588,1658
KTIV_990051726080205171_FL203737424,B_prompt,,0.1222,0.964,1598,1658
KTIV_990051726080205171_FL203737424,C_crop,0.546,0.1044,0.975,1617,1658
KTIV_990051727480205171_FL203739117,A_page,,0.1532,0.986,1090,1105
KTIV_990051727480205171_FL203739117,B_prompt,,0.1538,0.994,1098,1105
KTIV_990051727480205171_FL203739117,C_crop,0.509,0.1608,0.988,1092,1105
KTIV_990051727480205171_FL203739116,A_page,,0.0616,0.998,1071,1073
KTIV_990051727480205171_FL203739116,B_prompt,,0.0624,0.999,1072,1073
KTIV_990051727480205171_FL203739116,C_crop,0.491,0.0667,0.991,1063,1073
KTIV_990051100930205171_FL202443169,A_page,,0.3424,0.914,1072,1173
KTIV_990051100930205171_FL202443169,B_prompt,,0.3139,0.919,1078,1173
KTIV_990051100930205171_FL202443169,C_crop,0.526,0.2921,0.928,1089,1173
KTIV_990051100930205171_FL202443168,A_page,,0.2485,0.965,1124,1165
KTIV_990051100930205171_FL202443168,B_prompt,,0.2564,0.957,1115,1165
KTIV_990051100930205171_FL202443168,C_crop,0.446,0.2432,0.951,1108,1165
KTIV_990051173370205171_FL203730770,A_page,,0.1532,1.005,970,965
KTIV_990051173370205171_FL203730770,B_prompt,,0.6241,1.505,1452,965
KTIV_990051173370205171_FL203730770,C_crop,0.526,0.1294,0.985,951,965
KTIV_990051173370205171_FL203730771,A_page,,0.06,1.008,939,932
KTIV_990051173370205171_FL203730771,B_prompt,,0.076,1.003,935,932
KTIV_990051173370205171_FL203730771,C_crop,0.477,0.0642,0.995,927,932
KTIV_990051086200205171_FL202433878,A_page,,0.0381,0.984,993,1009
KTIV_990051086200205171_FL202433878,B_prompt,,0.0397,0.985,994,1009
KTIV_990051086200205171_FL202433878,C_crop,0.557,0.0357,0.982,991,1009
KTIV_990051086200205171_FL202433879,A_page,,0.0301,0.996,925,929
KTIV_990051086200205171_FL202433879,B_prompt,,0.0284,0.994,923,929
KTIV_990051086200205171_FL202433879,C_crop,0.506,0.0318,0.981,911,929
KTIV_990051085960205171_FL202432494,A_page,,0.1845,0.995,842,846
KTIV_990051085960205171_FL202432494,B_prompt,,0.1854,1.011,855,846
KTIV_990051085960205171_FL202432495,A_page,,0.6171,0.478,398,832
KTIV_990051085960205171_FL202432495,B_prompt,,0.3397,0.99,824,832
KTIV_990051173560205171_FL203731371,A_page,,0.0336,1.0,895,895
KTIV_990051173560205171_FL203731371,B_prompt,,0.0292,0.996,891,895
KTIV_990051173560205171_FL203731371,C_crop,0.534,0.0372,0.991,887,895
KTIV_990051173560205171_FL203731372,A_page,,0.0302,0.997,887,890
KTIV_990051173560205171_FL203731372,B_prompt,,0.0293,0.999,889,890
KTIV_990051173560205171_FL203731372,C_crop,0.469,0.0186,0.997,887,890
KTIV_990053642270205171_FL201858807,A_page,,0.4868,0.716,539,753
KTIV_990053642270205171_FL201858807,B_prompt,,0.7678,1.416,1066,753
KTIV_990053642270205171_FL201858806,A_page,,0.6542,0.462,151,327
KTIV_990053642270205171_FL201858806,B_prompt,,0.5561,0.82,268,327
